class_value,feature,mean,variance
0,mean radius,17.381235294117648,9.961219412640872
0,mean texture,21.579882352941173,15.41242033651631
0,mean perimeter,114.83064705882353,464.881318166966
0,mean area,966.8200000000002,126504.70649329155
0,mean smoothness,0.10299394117647058,0.00045988982572242685
0,mean compactness,0.14614482352941183,0.0033212614150476857
0,mean concavity,0.16236288235294125,0.0060923684129473386
0,mean concave points,0.08760723529411767,0.0014930948053764055
0,mean symmetry,0.19363058823529414,0.0011231588332622185
0,mean fractal dimension,0.06282929411764705,0.0003639193331099701
0,radius error,0.5947105882352941,0.10947627318620338
0,texture error,1.2010499999999995,0.23564759026890236
0,perimeter error,4.231241176470591,6.252021533367519
0,area error,69.88088235294117,3024.1460401600466
0,smoothness error,0.006797741176470592,0.0003146848729530151
0,compactness error,0.03249398235294119,0.0006657852881667521
0,concavity error,0.04313570588235292,0.0008190674181099706
0,concave points error,0.015077723529411769,0.00033808506634945107
0,symmetry error,0.02092352352941177,0.00042238268985768634
0,fractal dimension error,0.004010205882352941,0.000309024131042323
0,worst radius,20.967058823529413,17.593137582191048
0,worst texture,29.27676470588236,30.592692824405564
0,worst perimeter,140.25817647058827,833.3089740839214
0,worst area,1396.7711764705884,327373.1351801426
0,worst smoothness,0.1448475882352942,0.0007548928060269248
0,worst compactness,0.3788818235294117,0.030533788152047686
0,worst concavity,0.46324282352941165,0.03566719921975359
0,worst concave points,0.1828474117647059,0.002581963995144572
0,worst symmetry,0.32684117647058825,0.006249838896930038
0,worst fractal dimension,0.09173711764705882,0.0007983160788296935
1,mean radius,12.090428070175433,3.1070369782585763
1,mean texture,17.85603508771928,16.540374598867995
1,mean perimeter,77.67512280701753,135.90336442712285
1,mean area,458.69052631578955,17616.18979425292
1,mean smoothness,0.0920954736842105,0.0004568264537399004
1,mean compactness,0.07865168421052625,0.001367134263320694
1,mean concavity,0.04554832175438597,0.0023998093311712425
1,mean concave points,0.024923747368421068,0.0005419024103881736
1,mean symmetry,0.17285614035087718,0.0009113615789796668
1,mean fractal dimension,0.06281410526315793,0.00035159677386547753
1,radius error,0.2822154385964913,0.01296464701868419
1,texture error,1.2292747368421046,0.3799567212854739
1,perimeter error,1.9822782456140355,0.5855030140820269
1,area error,20.968964912280683,80.69285934272767
1,smoothness error,0.007254203508771931,0.000314894720866721
1,compactness error,0.02138878596491229,0.0005870461453921504
1,concavity error,0.026239682807017547,0.0015609721554850698
1,concave points error,0.009641764912280698,0.00033733358209146703
1,symmetry error,0.020692522807017544,0.00035740224190147627
1,fractal dimension error,0.0036702775438596487,0.00031495854767296585
1,worst radius,13.320133333333342,3.903624063023117
1,worst texture,23.48235087719298,30.946007950668555
1,worst perimeter,86.5635789473684,181.05885645790156
1,worst area,554.2315789473685,26517.142676247353
1,worst smoothness,0.12486164912280694,0.0006975428539639693
1,worst compactness,0.18003364912280692,0.008220678012139406
1,worst concavity,0.1652343754385965,0.02030899237651805
1,worst concave points,0.07278038947368425,0.0015253645604090785
1,worst symmetry,0.26940596491228064,0.002179329502156028
1,worst fractal dimension,0.07929645614035088,0.0004927777620193711
