component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
PC1,4.700107896506967,0.35900065731716235,0.35900065731716235,25.743255687800687
PC2,2.4471851823164945,0.186919344911498,0.5459200022286603,18.575605258150425
PC3,1.5195534714145122,0.1160655685099924,0.6619855707386527,14.63752163002488
PC4,0.9651196740849939,0.07371715820475838,0.735702728943411,11.665413582294635
PC5,0.8711365035385653,0.06653859534070292,0.802241324284114,11.082880807756515
PC6,0.635571471654929,0.048545816632364513,0.8507871409164784,9.46655045427557
PC7,0.5492231787401324,0.041950416144289585,0.8927375570607681,8.800026602366533
PC8,0.35138442173236495,0.026839221811626977,0.9195767788723951,7.038835376982719
PC9,0.307334150074487,0.023474601928766315,0.9430513808011614,6.582865269812429
PC10,0.24740768197216897,0.018897336488665106,0.9619487172898264,5.90630875912154
