support,itemsets,itemset_length
0.5975,bread,1
0.505,milk,1
0.4375,bread|milk,2
0.3725,butter,1
0.3325,bread|butter,2
0.325,coffee,1
0.315,pasta,1
0.2975,sugar,1
0.2975,tomato_sauce,1
0.285,rice,1
0.27,bananas,1
0.27,chicken,1
0.27,yogurt,1
0.235,coffee|sugar,2
0.2325,pasta|tomato_sauce,2
0.215,butter|milk,2
0.2075,bananas|yogurt,2
0.2075,chicken|rice,2
0.2025,bread|butter|milk,3
0.2,bread|pasta,2
0.1825,bread|coffee,2
0.17,bread|rice,2
0.17,bread|sugar,2
0.1625,bread|tomato_sauce,2
0.16,coffee|milk,2
0.16,milk|rice,2
0.1525,bread|chicken,2
0.1525,milk|pasta,2
0.1475,bread|yogurt,2
0.1425,milk|sugar,2
0.1425,bread|milk|pasta,3
0.14,bananas|bread,2
0.14,bread|milk|rice,3
0.14,bread|pasta|tomato_sauce,3
0.1375,milk|yogurt,2
0.135,chicken|milk,2
0.135,bread|coffee|milk,3
0.13,bananas|milk,2
0.1275,milk|tomato_sauce,2
0.1275,bread|coffee|sugar,3
0.12,bread|chicken|rice,3
0.1175,bread|chicken|milk,3
0.1175,bread|milk|sugar,3
0.1175,chicken|milk|rice,3
0.1175,coffee|milk|sugar,3
0.115,bananas|bread|yogurt,3
0.115,bread|milk|tomato_sauce,3
0.1125,butter|coffee,2
0.1125,bread|milk|yogurt,3
0.11,bananas|coffee,2
0.11,milk|pasta|tomato_sauce,3
0.1075,tea,1
0.1075,butter|pasta,2
0.105,bananas|bread|milk,3
0.105,bananas|milk|yogurt,3
0.1025,apples,1
0.1025,butter|sugar,2
0.1025,bread|butter|pasta,3
0.1,butter|tomato_sauce,2
0.0975,eggs,1
0.0975,coffee|yogurt,2
0.095,cheese,1
0.095,pasta|rice,2
0.095,rice|yogurt,2
0.0925,chicken|pasta,2
0.0925,coffee|pasta,2
0.0925,bread|butter|coffee,3
0.09,butter|yogurt,2
0.09,bread|butter|sugar,3
0.09,bread|butter|tomato_sauce,3
0.0875,bananas|rice,2
0.085,butter|rice,2
0.0825,bananas|sugar,2
0.0825,butter|chicken,2
0.0825,chicken|yogurt,2
0.0825,pasta|sugar,2
0.0825,rice|sugar,2
0.0825,sugar|yogurt,2
0.08,bananas|pasta,2
0.08,bananas|tomato_sauce,2
0.08,chicken|coffee,2
0.08,chicken|sugar,2
0.08,chicken|tomato_sauce,2
0.08,coffee|tomato_sauce,2
0.08,bananas|coffee|yogurt,3
