feature,importance
lag_12,0.6322038
lag_1,0.2574369
rolling_mean_3,0.0373279
time_index,0.025526593
rolling_max_12,0.016839184
rolling_mean_12,0.012284725
rolling_min_12,0.010014991
rolling_min_3,0.004738039
lag_2,0.0015567967
month_sin,0.0004078208
quarter,0.00030598982
month,0.00023702138
rolling_max_6,0.00020276687
rolling_std_12,0.00015917783
rolling_max_3,0.00012883278
rolling_std_6,0.000118007425
rolling_min_6,0.00010934768
rolling_mean_6,9.776051e-05
lag_6,9.763121e-05
lag_3,7.4511016e-05
rolling_std_3,6.6310786e-05
month_cos,6.6014254e-05
